iter,decision,sizeR_kB,sizeA_kB,sizeB_kB,source,timestamp
1,Tie,341.3,341.3,341.3,perf-http,1759267032.863761
2,Version A,1038.8,1038.8,1038.8,cdp,1759267052.2874885
3,Version B,1061.3,1061.3,1061.3,cdp,1759267071.6539607
4,Version B,397.5,397.5,397.5,cdp,1759267091.15839
5,Tie,495.0,495.0,495.0,cdp,1759267110.7210953
6,Tie,281.3,281.3,281.3,cdp,1759267130.1189582
7,Tie,341.3,341.3,341.3,cdp,1759267149.5676806
8,Version A,337.5,337.5,337.5,cdp,1759267169.1711366
9,Tie,1035.0,1035.0,1035.0,cdp,1759267189.2246985
10,Tie,697.5,697.5,697.5,cdp,1759267209.3191981
11,Tie,330.0,330.0,330.0,cdp,1759267230.039638
12,Version B,585.0,585.0,585.0,cdp,1759267249.5914466
13,Version A,626.3,626.3,626.3,cdp,1759267270.4400482
14,Version A,937.5,937.5,937.5,cdp,1759267291.1373472
15,Version A,577.5,577.5,577.5,cdp,1759267311.9252465
16,Version A,277.5,277.5,277.5,cdp,1759267319.0101016
17,Tie,585.0,585.0,585.0,cdp,1759267340.0011742
18,Tie,588.8,588.8,588.8,cdp,1759267360.9418907
19,Version A,318.8,318.8,318.8,cdp,1759267382.4817288
20,Version A,281.3,281.3,281.3,cdp,1759267403.7689505
21,Version B,318.8,318.8,318.8,cdp,1759267425.2056892
22,Tie,281.3,281.3,281.3,cdp,1759267446.8463554
23,Tie,772.5,772.5,772.5,cdp,1759267468.6664906
24,Version B,817.5,817.5,817.5,cdp,1759267490.1449895
25,Tie,566.3,566.3,566.3,cdp,1759267511.9478805
26,Tie,1035.0,1035.0,1035.0,cdp,1759267533.50846
27,Tie,285.0,285.0,285.0,cdp,1759267555.8195724
28,Version A,585.0,585.0,585.0,cdp,1759267577.5742776
29,Tie,937.5,937.5,937.5,cdp,1759267599.432134
30,Tie,153.8,153.8,153.8,cdp,1759267605.570061
31,Version A,761.3,761.3,761.3,cdp,1759267627.8029723
32,Version A,326.3,326.3,326.3,cdp,1759267649.762141
33,Version B,292.5,292.5,292.5,cdp,1759267671.9396079
34,Tie,330.0,330.0,330.0,cdp,1759267694.176176
35,Version A,585.0,585.0,585.0,cdp,1759267716.8232405
36,Version B,588.8,588.8,588.8,cdp,1759267739.1778896
37,Tie,558.8,558.8,558.8,cdp,1759267762.0029614
38,Version B,453.8,453.8,453.8,cdp,1759267784.5450566
39,Tie,423.8,423.8,423.8,cdp,1759267807.0258384
40,Version B,588.8,588.8,588.8,cdp,1759267830.0122635
41,Version B,356.3,356.3,356.3,cdp,1759267853.6835158
42,Tie,1061.3,1061.3,1061.3,cdp,1759267876.3280325
43,Tie,330.0,330.0,330.0,cdp,1759267899.2300954
44,Version B,495.0,495.0,495.0,cdp,1759267922.1959188
45,Tie,318.8,318.8,318.8,cdp,1759267945.297403
46,Version A,285.0,285.0,285.0,cdp,1759267968.420921
47,Version A,277.5,277.5,277.5,cdp,1759267992.1792781
48,Tie,585.0,585.0,585.0,cdp,1759268016.174781
49,Tie,783.8,783.8,783.8,cdp,1759268039.4357388
50,Version A,817.5,817.5,817.5,cdp,1759268062.6727266
51,Version B,322.5,322.5,322.5,cdp,1759268085.895542
52,Tie,405.0,405.0,405.0,cdp,1759268109.494358
53,Version B,356.3,356.3,356.3,cdp,1759268133.1575623
54,Tie,735.0,735.0,735.0,cdp,1759268156.9318051
55,Version B,697.5,697.5,697.5,cdp,1759268180.8234015
56,Tie,836.3,836.3,836.3,cdp,1759268204.9738255
57,Tie,330.0,330.0,330.0,cdp,1759268228.8143542
58,Version B,326.3,326.3,326.3,cdp,1759268253.0833123
59,Version A,405.0,405.0,405.0,cdp,1759268277.3950157
60,Version A,326.3,326.3,326.3,cdp,1759268301.896626
61,Version B,281.3,281.3,281.3,cdp,1759268326.1913118
