iter,decision,simA,simB,sharpA,sharpB,timestamp
1,Reconstruction A,,,887.7254028320312,706.42529296875,1759417369.235435
2,Reconstruction A,,,981.0553588867188,414.2769470214844,1759417375.5307362
3,Reconstruction A,,,1253.193115234375,454.3419189453125,1759417381.859421
4,Reconstruction A,,,1212.059326171875,405.4676513671875,1759417388.1568582
5,Reconstruction A,,,815.7135620117188,403.6763000488281,1759417394.5054216
6,Reconstruction A,,,1082.456787109375,403.67193603515625,1759417400.8151097
7,Reconstruction A,,,734.0879516601562,405.4676513671875,1759417406.9981215
8,Reconstruction B,,,194.31727600097656,403.6817321777344,1759417413.4858372
9,Reconstruction A,,,1468.792236328125,449.4496154785156,1759417419.884637
10,Reconstruction A,,,1775.75390625,442.2389831542969,1759417426.1269696
11,Reconstruction A,,,890.0592041015625,405.4676513671875,1759417432.434643
12,Reconstruction A,,,2506.38134765625,2326.904296875,1759417438.8964567
13,Reconstruction A,,,1615.1690673828125,414.2769470214844,1759417445.1627483
14,Reconstruction B,,,1499.0560302734375,1625.5472412109375,1759417451.741398
15,Reconstruction A,,,1028.27490234375,403.68719482421875,1759417458.037388
16,Reconstruction B,,,747.74951171875,2408.901123046875,1759417464.7768245
17,Reconstruction A,,,609.480712890625,403.7259521484375,1759417471.1648762
18,Reconstruction A,,,1097.5068359375,405.4676513671875,1759417477.3524933
19,Reconstruction A,,,1187.2535400390625,876.1436157226562,1759417484.3708835
20,Reconstruction A,,,763.196044921875,405.4676513671875,1759417491.1864383
21,Reconstruction A,,,783.826416015625,405.4676513671875,1759417497.4875782
22,Reconstruction A,,,2921.447021484375,403.6817321777344,1759417503.8467119
23,Reconstruction A,,,673.1051025390625,403.6817321777344,1759417510.0465415
24,Reconstruction B,,,1075.4599609375,1275.7919921875,1759417516.5713243
25,Reconstruction A,,,1101.230712890625,704.9738159179688,1759417523.3897882
26,Reconstruction B,,,552.1704711914062,948.9844970703125,1759417529.9024491
27,Reconstruction B,,,85.81454467773438,652.5308837890625,1759417537.433033
28,Reconstruction B,,,446.7033386230469,1096.2193603515625,1759417543.915076
29,Reconstruction B,,,754.5730590820312,1231.5684814453125,1759417550.1129413
30,Reconstruction A,,,1122.0838623046875,1043.9158935546875,1759417556.8405602
31,Reconstruction A,,,827.299560546875,405.4676513671875,1759417563.0990775
32,Reconstruction B,,,814.7551879882812,1452.0010986328125,1759417569.639042
33,Reconstruction A,,,960.3212280273438,403.7144775390625,1759417576.1754107
34,Reconstruction A,,,1621.503662109375,405.4676513671875,1759417582.5284271
35,Reconstruction A,,,564.775390625,405.4676513671875,1759417588.8046103
36,Reconstruction A,,,3187.6640625,786.6051025390625,1759417595.3924487
37,Reconstruction A,,,569.1113891601562,405.4676513671875,1759417601.7930999
38,Reconstruction B,,,864.5239868164062,1747.2039794921875,1759417608.2867177
39,Reconstruction A,,,1109.246337890625,405.4676513671875,1759417614.550018
40,Reconstruction A,,,781.8233642578125,403.7259521484375,1759417621.0162776
41,Reconstruction A,,,1853.9178466796875,798.0205078125,1759417627.4586468
42,Reconstruction B,,,636.771484375,1203.0369873046875,1759417634.0562887
43,Reconstruction A,,,959.2176513671875,405.4676513671875,1759417640.6277096
44,Reconstruction B,,,603.1812744140625,1192.46630859375,1759417647.1548965
45,Reconstruction B,,,976.6063232421875,1057.1387939453125,1759417653.4532413
46,Reconstruction B,,,804.032470703125,2096.441162109375,1759417660.2938213
47,Reconstruction A,,,1589.3392333984375,403.6817321777344,1759417666.525546
48,Reconstruction B,,,420.0472106933594,1688.3662109375,1759417673.073862
49,Reconstruction A,,,1210.8701171875,405.4676513671875,1759417679.2089076
50,Reconstruction A,,,575.377197265625,405.4676513671875,1759417685.4975579
51,Reconstruction B,,,956.7345581054688,1094.300537109375,1759417692.1133678
52,Reconstruction A,,,1277.8238525390625,405.4676513671875,1759417698.2631621
53,Reconstruction A,,,2921.447021484375,1101.1219482421875,1759417704.6804643
54,Reconstruction A,,,587.9498901367188,403.6817321777344,1759417711.6235483
55,Reconstruction A,,,1862.5528564453125,1003.1539306640625,1759417718.5390143
56,Reconstruction A,,,2929.564208984375,405.4676513671875,1759417724.6655548
57,Reconstruction B,,,1055.25390625,1187.714599609375,1759417736.0963132
58,Tie,,,588.7987060546875,582.3139038085938,1759417742.608749
59,Reconstruction B,,,1300.027099609375,1720.8092041015625,1759417749.4284937
60,Reconstruction A,,,1047.466552734375,844.7727661132812,1759417756.186053
61,Reconstruction A,,,673.5,405.4676513671875,1759417762.534856
62,Reconstruction A,,,960.3011474609375,716.9219970703125,1759417769.3715866
63,Reconstruction B,,,600.0974731445312,915.6990966796875,1759417775.9842877
64,Reconstruction A,,,809.9027099609375,405.4676513671875,1759417782.6912303
65,Reconstruction A,,,1847.1016845703125,405.4676513671875,1759417789.0701933
66,Reconstruction B,,,946.1063232421875,1415.92236328125,1759417795.3754084
67,Reconstruction A,,,843.8935546875,405.4676513671875,1759417801.5894656
68,Reconstruction A,,,1292.716796875,403.6572265625,1759417807.9416509
69,Reconstruction A,,,2921.447021484375,403.6817321777344,1759417814.270224
70,Reconstruction A,,,569.641357421875,405.4676513671875,1759417820.689607
71,Reconstruction A,,,1663.003173828125,403.66375732421875,1759417827.2576933
72,Reconstruction A,,,955.4402465820312,405.4676513671875,1759417833.9321678
73,Reconstruction A,,,754.7783203125,405.4676513671875,1759417840.3488228
74,Reconstruction A,,,793.85595703125,405.4676513671875,1759417846.7533128
75,Reconstruction A,,,870.5101318359375,405.4676513671875,1759417853.030336
76,Reconstruction B,,,862.2778930664062,1507.79150390625,1759417859.4726603
77,Reconstruction A,,,2497.5400390625,405.4676513671875,1759417865.6305056
78,Reconstruction B,,,741.7592163085938,1294.3343505859375,1759417872.244578
79,Reconstruction A,,,867.5196533203125,405.4676513671875,1759417878.6478114
80,Reconstruction A,,,2921.447021484375,927.0469970703125,1759417885.3593943
81,Reconstruction A,,,809.4976806640625,405.4676513671875,1759417891.6708784
82,Reconstruction B,,,989.8640747070312,1060.5155029296875,1759417903.168558
83,Reconstruction B,,,117.00009155273438,405.4676513671875,1759417909.3348482
84,Reconstruction A,,,651.6415405273438,403.6817321777344,1759417915.7227526
85,Reconstruction A,,,991.8419799804688,405.4676513671875,1759417922.0076602
86,Reconstruction A,,,1225.548828125,403.7144775390625,1759417928.218653
87,Reconstruction A,,,1026.2215576171875,548.7990112304688,1759417934.4720027
88,Reconstruction A,,,2929.25439453125,405.4676513671875,1759417940.6676269
89,Reconstruction B,,,805.9864501953125,898.6016845703125,1759417947.0307882
90,Reconstruction A,,,600.5206909179688,405.4676513671875,1759417953.3774908
91,Reconstruction B,,,962.8036499023438,1124.827880859375,1759417959.7351713
92,Reconstruction A,,,526.4054565429688,403.6817321777344,1759417966.1817112
93,Reconstruction A,,,1144.168212890625,1031.2796630859375,1759417972.6535904
94,Reconstruction A,,,589.71533203125,405.4676513671875,1759417979.085351
95,Reconstruction B,,,603.2120361328125,866.5616455078125,1759417985.5041845
96,Reconstruction A,,,705.761962890625,405.4676513671875,1759417991.8820171
97,Reconstruction B,,,813.3211669921875,1386.46240234375,1759417998.3933427
98,Reconstruction A,,,870.7161254882812,405.4676513671875,1759418004.6845057
99,Reconstruction B,,,487.1323547363281,1124.328125,1759418011.813235
100,Reconstruction A,,,793.7825927734375,405.4676513671875,1759418018.1029246
101,Reconstruction B,,,764.9724731445312,818.0811157226562,1759418024.5972595
102,Reconstruction A,,,697.4257202148438,405.4676513671875,1759418030.9186885
103,Reconstruction A,,,845.0520629882812,403.66375732421875,1759418037.197757
104,Reconstruction A,,,604.8136596679688,403.66375732421875,1759418043.553149
105,Reconstruction A,,,2921.447021484375,405.4676513671875,1759418049.8874688
106,Reconstruction B,,,651.4111938476562,847.1317138671875,1759418056.4542587
107,Reconstruction A,,,686.6797485351562,405.4676513671875,1759418062.8041117
108,Reconstruction B,,,850.6055908203125,1091.9482421875,1759418069.3002968
109,Reconstruction A,,,784.0234985351562,530.2003173828125,1759418075.8754478
